,lotSizeSqFt,bathrooms,owner_address,Deed Book,"Winning Bid /
Receipt No",bedrooms,Cert No,Item,lastSoldPrice,Deed Page,address,property_code,Bidder,Status,longitude,Pin,taxAssessmentYear,Bundle,"Min. Bid /
Payment Date",taxAssessment,Date Status Changed,yearBuilt,Tax Payer,lastSoldDate,zestimate,latitude,zpid,auction_year
,20038,,828 EAST BOULEVARDCHARLOTTE NC 28203,,"$160,000.00",,1,1,595000,,"107 BLUE HERON POND RD, KIAWAH ISLAND",905 - VAC-RES-LOT,206,R,-80.047928,2650200054,2010,,"$14,851.77",595000.0,10/29/2013,,107 BLUE HERON,09/23/2009,,32.625842,110211616,test
,16988,2.0,1237 CHARLESTOWNE DRCHARLESTON SC 29407,," $ 155,000.00 ",3,7,7,245000,,"1237 CHARLESTOWNE DR, CHARLESTON",101 - RESID-SFR,745,R,-79.997249,3521200087,2010,," $ 5,480.89 ",188000.0,2/6/2015,1963,1237 CHARLESTOWNE DRIVE LLC,05/11/2015,318135,32.811949,10875243,test
,14374,2.0,1501 WESTRIDGE CIRCHARLESTON SC 29412,,"$119,000.00",4,91,91,206000,,"1501 WESTRIDGE CIR, CHARLESTON",101 - RESID-SFR,1084,V-S,-79.959,4270500086,2010,,"$5,988.69",187000.0,12/9/2013,1965,1501 WESTRIDGE CIRCLE,06/11/2015,279555,32.709274,10898672,test
